Season,Week,PlayerID,Name,Team,Opponent,HomeOrAway,Position,Receptions,ReceivingYards,ReceivingTouchdowns,RushingYards,RushingTouchdowns,PassingYards,PassingTouchdowns,FumblesLost,FantasyPoints,FantasyPointsPPR,TotalYards,TotalTDs,source_file
2024,5,12831,Tyrod Taylor,NYJ,MIN,AWAY,QB,0.0,0.0,0.0,0.9,0.0,5.4,0.0,0.0,0.31,0.31,6.300000000000001,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23135,Charlie Kolar,BAL,CIN,AWAY,TE,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,3.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24168,Tyson Bagent,CHI,CAR,HOME,QB,0.0,0.0,0.0,0.6,0.0,6.1,0.0,0.0,0.3,0.3,6.699999999999999,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24958,Drake Maye,NE,MIA,HOME,QB,0.0,0.0,0.0,0.9,0.0,5.3,0.0,0.0,0.3,0.3,6.2,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,21804,DeeJay Dallas,ARI,SF,AWAY,RB,0.2,1.3,0.0,1.6,0.0,0.0,0.0,0.0,0.29,0.49,2.9000000000000004,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22604,Tylan Wallace,BAL,CIN,AWAY,WR,0.2,2.7,0.0,0.2,0.0,0.0,0.0,0.0,0.29,0.49,2.9000000000000004,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23249,Jake Haener,NO,KC,AWAY,QB,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.0,0.29,0.29,6.5,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24743,Xavier Smith,LAR,GB,HOME,WR,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,2.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25103,Malik Washington,MIA,NE,AWAY,WR,0.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.59,2.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,14871,Robert Woods,HOU,BUF,HOME,WR,0.3,2.7,0.0,0.1,0.0,0.0,0.0,0.0,0.28,0.58,2.8000000000000003,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18872,Dalvin Cook,DAL,PIT,AWAY,RB,0.0,1.3,0.0,1.5,0.0,0.0,0.0,0.0,0.28,0.28,2.8,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25452,British Brooks,HOU,BUF,HOME,RB,0.0,0.2,0.0,2.6,0.0,0.0,0.0,0.0,0.28,0.28,2.8000000000000003,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22119,Charlie Woerner,ATL,TB,HOME,TE,0.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.57,2.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22505,Davis Mills,HOU,BUF,HOME,QB,0.0,0.0,0.0,0.3,0.0,6.1,0.0,0.0,0.27,0.27,6.4,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24151,Payne Durham,TB,ATL,AWAY,TE,0.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.57,2.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24373,Kenny McIntosh,SEA,NYG,HOME,RB,0.1,0.7,0.0,1.9,0.0,0.0,0.0,0.0,0.26,0.36,2.6,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18652,C.J. Ham,MIN,NYJ,HOME,RB,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,2.5,0.0,nfl_2024_week5_skill_positions_projections.csv
